Processor,Transistor count,Date of introduction,Manufacturer
NV3,3500000.0,1997,NVIDIA
Rage 128,8000000.0,1999,AMD
NV5,15000000.0,1999,Nvidia
NV10,23000000.0,1999,Nvidia
NV11,20000000.0,2000,Nvidia
NV15,25000000.0,2000,Nvidia
R100,30000000.0,2000,AMD
NV20,57000000.0,2001,Nvidia
R200,60000000.0,2001,AMD
NV25,63000000.0,2002,Nvidia
R300,107000000.0,2002,AMD
R360,117000000.0,2003,AMD
NV38,135000000.0,2003,Nvidia
R480,160000000.0,2004,AMD
G86 Tesla,210000000.0,2007,Nvidia
G98 Tesla,210000000.0,2008,Nvidia
NV40,222000000.0,2004,Nvidia
RV710,242000000.0,2008,AMD
GT218 Tesla,260000000.0,2009,Nvidia
G84 Tesla,289000000.0,2007,Nvidia
Cedar RV810,292000000.0,2010,AMD
GF119 Fermi,292000000.0,2011,Nvidia
G70,303000000.0,2005,Nvidia
G96 Tesla,314000000.0,2008,Nvidia
R520,321000000.0,2005,AMD
Caicos RV910,370000000.0,2011,AMD
R580,384000000.0,2006,AMD
GT216 Tesla,486000000.0,2009,Nvidia
G94 Tesla,505000000.0,2008,Nvidia
RV730,514000000.0,2008,AMD
GF108 Fermi,585000000.0,2011,Nvidia
Redwood RV830,627000000.0,2010,AMD
RV670,666000000.0,2008,AMD
G80,681000000.0,2006,Nvidia
R600,700000000.0,2007,AMD
Turks RV930,716000000.0,2011,AMD
GT215 Tesla,727000000.0,2009,Nvidia
G92,754000000.0,2007,Nvidia
RV740,826000000.0,2009,AMD
RV770,956000000.0,2008,AMD
RV790,959000000.0,2008,AMD
Juniper RV840,1040000000.0,2009,AMD
Oland,1040000000.0,2013,AMD
GF106 Fermi,1170000000.0,2010,Nvidia
GK107 Kepler,1270000000.0,2012,Nvidia
GT200b Tesla,1400000000.0,2008,Nvidia
GT200 Tesla,1400000000.0,2008,Nvidia
Cape Verde,1500000000.0,2012,AMD
Barts RV940,1700000000.0,2010,AMD
GP108 Pascal,1850000000.0,2017,Nvidia
GM107 Maxwell,1870000000.0,2014,Nvidia
GF104 Fermi,1950000000.0,2011,Nvidia
Bonaire,2080000000.0,2013,AMD
Cypress RV870,2154000000.0,2009,AMD
"Polaris 12 ""Lexa""",2200000000.0,2017,AMD
GK106 Kepler,2540000000.0,2012,Nvidia
Cayman RV970,2640000000.0,2010,AMD
Pitcairn,2800000000.0,2012,AMD
GM206 Maxwell,2940000000.0,2014,Nvidia
"Polaris 11 ""Baffin""",3000000000.0,2016,AMD
GF100 Fermi,3200000000.0,2010,Nvidia
GF110 Fermi,3000000000.0,2010,Nvidia
GP107 Pascal,3300000000.0,2017,Nvidia
GK104 Kepler,3540000000.0,2012,Nvidia
Tahiti,4312711873.0,2011,AMD
GP106 Pascal,4400000000.0,2016,Nvidia
Tonga,5000000000.0,2014,AMD
GM204 Maxwell,5200000000.0,2014,Nvidia
"Polaris 10 ""Ellesmere""",5700000000.0,2016,AMD
Hawaii,6300000000.0,2013,AMD
GK110 Kepler,7080000000.0,2012,Nvidia
GP104 Pascal,7200000000.0,2016,Nvidia
GM200 Maxwell,8000000000.0,2015,Nvidia
Fiji,8900000000.0,2015,AMD
GP102 Pascal,12000000000.0,2016,Nvidia
Vega 10,12500000000.0,2017,AMD
GP100 Pascal,15300000000.0,2016,Nvidia
GV100 Volta,21100000000.0,2017,Nvidia
